timestamp(ms),solenoid_commanded,analog value (1-1024) (raw),
"93.066",,"510",
"93.069","27",,
"93.072",,"512",
"93.075","27",,
"93.078",,"510",
"93.08","27",,
"93.084",,"510",
"93.086","27",,
"93.089",,"510",
"93.092","27",,
"93.095",,"510",
"93.099","27",,
"93.102",,"511",
"93.105","27",,
"93.108",,"510",
"93.11","27",,
"93.114",,"510",
"93.116","27",,
"93.119",,"510",
"93.122","28",,
"93.125",,"510",
"93.128","28",,
"93.131",,"510",
"93.134","28",,
"93.137",,"512",
"93.139","28",,
"93.144",,"510",
"93.146","28",,
"93.149",,"510",
"93.152","28",,
"93.155",,"510",
"93.158","28",,
"93.161",,"510",
"93.164","28",,
"93.167",,"513",
"93.169","28",,
"93.173",,"510",
"93.175","28",,
"93.179",,"510",
"93.181","29",,
"93.185",,"510",
"93.188","29",,
"93.191",,"510",
"93.194","29",,
"93.197",,"512",
"93.2","29",,
"93.203",,"510",
"93.205","29",,
"93.209",,"510",
"93.211","29",,
"93.214",,"510",
"93.217","29",,
"93.22",,"510",
"93.223","29",,
"93.227",,"511",
"93.23","29",,
"93.233",,"511",
"93.235","29",,
"93.239",,"510",
"93.241","30",,
"93.244",,"510",
"93.247","30",,
"93.25",,"510",
"93.253","30",,
"93.256",,"511",
"93.259","30",,
"93.262",,"512",
"93.264","30",,
"93.268",,"510",
"93.271","30",,
"93.274",,"510",
"93.277","30",,
"93.28",,"510",
"93.283","30",,
"93.286",,"511",
"93.289","30",,
"93.292",,"513",
"93.294","30",,
"93.298",,"510",
"93.3","31",,
"93.304",,"510",
"93.306","31",,
"93.309",,"510",
"93.313","31",,
"93.316",,"510",
"93.319","31",,
"93.322",,"512",
"93.325","31",,
"93.328",,"510",
"93.33","31",,
"93.334",,"510",
"93.336","31",,
"93.339",,"510",
"93.342","31",,
"93.345",,"510",
"93.348","31",,
"93.351",,"511",
"93.355","31",,
"93.358",,"511",
"93.36","32",,
"93.364",,"510",
"93.366","32",,
"93.369",,"510",
"93.372","32",,
"93.375",,"510",
"93.378","32",,
"93.381",,"510",
"93.384","32",,
"93.387",,"512",
"93.389","32",,
"93.393",,"510",
"93.395","32",,
"93.4",,"510",
"93.402","32",,
"93.405",,"510",
"93.408","32",,
"93.411",,"510",
"93.414","32",,
"93.417",,"513",
"93.42","33",,
"93.423",,"510",
"93.425","33",,
"93.429",,"510",
"93.431","33",,
"93.434",,"510",
"93.437","33",,
"93.441",,"510",
"93.444","33",,
"93.447",,"512",
"93.45","33",,
"93.453",,"510",
"93.455","33",,
"93.459",,"510",
"93.461","33",,
"93.464",,"510",
"93.467","33",,
"93.47",,"510",
"93.473","33",,
"93.476",,"511",
"93.479","34",,
"93.483",,"512",
"93.485","34",,
"93.489",,"510",
"93.491","34",,
"93.494",,"510",
"93.497","34",,
"93.5",,"510",
"93.503","34",,
"93.506",,"511",
"93.509","34",,
"93.512",,"513",
"93.514","34",,
"93.518",,"510",
"93.52","34",,
"93.524",,"510",
"93.527","34",,
"93.53",,"510",
"93.533","34",,
"93.536",,"510",
"93.539","35",,
"93.542",,"514",
"93.545","35",,
"93.548",,"510",
"93.55","35",,
"93.554",,"510",
"93.556","35",,
"93.559",,"510",
"93.562","35",,
"93.565",,"510",
"93.569","35",,
"93.572",,"513",
"93.575","35",,
"93.578",,"510",
"93.58","35",,
"93.584",,"510",
"93.586","35",,
"93.589",,"510",
"93.592","35",,
"93.595",,"510",
"93.598","36",,
"93.601",,"511",
"93.604","36",,
"93.607",,"512",
"93.609","36",,
"93.614",,"510",
"93.616","36",,
"93.62",,"510",
"93.622","36",,
"93.625",,"510",
"93.628","36",,
