timestamp(ms),Hall analog (raw),Solenoid value (0-255),
"3.637",,"35",
"3.639","512",,
"3.642",,"35",
"3.644","512",,
"3.647",,"35",
"3.649","510",,
"3.652",,"35",
"3.655","510",,
"3.657",,"35",
"3.66","510",,
"3.663",,"35",
"3.665","510",,
"3.668",,"35",
"3.671","510",,
"3.674",,"35",
"3.676","513",,
"3.679",,"35",
"3.681","512",,
"3.684",,"35",
"3.686","510",,
"3.689",,"35",
"3.692","510",,
"3.694",,"35",
"3.697","510",,
"3.7",,"35",
"3.702","510",,
"3.705",,"35",
"3.707","510",,
"3.71",,"35",
"3.713","513",,
"3.716",,"35",
"3.718","511",,
"3.721",,"35",
"3.723","510",,
"3.726",,"35",
"3.729","510",,
"3.731",,"36",
"3.734","510",,
"3.737",,"36",
"3.739","510",,
"3.742",,"36",
"3.744","510",,
"3.747",,"36",
"3.749","514",,
"3.752",,"36",
"3.755","511",,
"3.758",,"36",
"3.76","510",,
"3.763",,"36",
"3.766","510",,
"3.768",,"36",
"3.771","510",,
"3.774",,"36",
"3.776","510",,
"3.779",,"36",
"3.781","511",,
"3.784",,"36",
"3.786","514",,
"3.789",,"36",
"3.791","511",,
