Analog Write Value, Sensor Reading
-60, 513
-61, 512
-62, 509
-63, 509
-64, 508
-65, 517
-66, 511
-67, 508
-68, 508
-69, 510
-70, 520
-71, 510
-72, 509
-73, 508
-74, 514
-75, 518
-76, 510
-77, 509
-78, 509
-79, 517
-80, 516
-81, 510
-82, 509
-83, 510
-84, 521
-85, 513
-86, 509
-87, 509
-88, 514
-89, 524
-90, 511
-91, 509
-92, 509
-93, 518
-94, 521
-95, 510
-96, 509
-97, 511
-98, 521
-99, 518
-100, 510
-101, 509
-102, 516
-103, 526
-104, 513
-105, 509
-106, 511
-107, 522
-108, 520
-109, 510
-110, 509
-111, 518
-112, 527
-113, 513
-114, 509
-115, 513
-116, 524
-117, 521
-118, 510
-119, 509
-120, 520
-121, 529
-122, 514
-123, 509
-124, 516
-125, 526
-126, 522
-127, 510
-128, 511
-129, 522
-130, 531
-131, 516
-132, 510
-133, 519
-134, 528
-135, 524
-136, 511
-137, 515
-138, 525
-139, 532
-140, 516
-141, 510
-142, 521
-143, 530
-144, 524
-145, 512
-146, 517
-147, 527
-148, 533
-149, 518
-150, 513
-151, 523
-152, 532
-153, 525
-154, 512
-155, 520
-156, 529
-157, 534
-158, 518
-159, 516
-160, 526
-161, 534
-162, 527
-163, 513
-164, 522
-165, 531
-166, 537
-167, 520
-168, 520
-169, 529
-170, 537
-171, 528
-172, 518
-173, 528
-174, 536
-175, 539
-176, 523
-177, 526
-178, 535
-179, 542
-180, 533
-181, 524
-182, 534
-183, 541
-184, 543
-185, 526
-186, 533
-187, 540
-188, 547
-189, 536
-190, 532
-191, 540
-192, 546
-193, 547
-194, 531
-195, 539
-196, 545
-197, 551
-198, 540
-199, 539
-200, 545
-201, 551
-202, 550
-203, 538
-204, 545
-205, 550
-206, 555
-207, 543
-208, 545
-209, 550
-210, 555
-211, 554
-212, 545
-213, 551
-214, 555
-215, 559
-216, 546
-217, 552
-218, 556
-219, 560
-220, 557
-221, 552
-222, 557
-223, 561
-224, 563
-225, 553
-226, 558
-227, 561
-228, 564
-229, 560
-230, 559
-231, 562
-232, 565
-233, 567
-234, 561
-235, 564
-236, 566
-237, 568
-238, 563
-239, 565
-240, 568
-241, 569
-242, 571
-243, 567
-244, 569
-245, 571
-246, 572
-247, 570
-248, 571
-249, 572
-250, 574
-251, 575
-252, 574
-253, 575
-254, 576
-255, 575
